"p_bin","outcome","fav_goals","und_goals","prob","prob_raw","p_lo","p_hi"
"[0.5,0.55]","draw",0,0,0.405239633308183,0.40983606557377,0.5,0.55
"[0.5,0.55]","draw",1,1,0.392811226136574,0.39344262295082,0.5,0.55
"[0.5,0.55]","draw",2,2,0.182518473260016,0.180327868852459,0.5,0.55
"[0.5,0.55]","draw",3,3,0.0191388868872138,0.0163934426229508,0.5,0.55
"[0.5,0.55]","draw",4,4,0.000291778615384609,0,0.5,0.55
"[0.5,0.55]","draw",5,5,1.79262865652653e-09,0,0.5,0.55
"[0.5,0.55]","fav_win",1,0,0.271590825777786,0.333333333333333,0.5,0.55
"[0.5,0.55]","fav_win",2,0,0.186417499074398,0.178571428571429,0.5,0.55
"[0.5,0.55]","fav_win",2,1,0.136853954430229,0.130952380952381,0.5,0.55
"[0.5,0.55]","fav_win",3,0,0.0544235386880588,0.0238095238095238,0.5,0.55
"[0.5,0.55]","fav_win",3,1,0.132184498202244,0.130952380952381,0.5,0.55
"[0.5,0.55]","fav_win",3,2,0.0979203989330725,0.107142857142857,0.5,0.55
"[0.5,0.55]","fav_win",4,0,0.0259118068344033,0.0238095238095238,0.5,0.55
"[0.5,0.55]","fav_win",4,1,0.0458229485032639,0.0357142857142857,0.5,0.55
"[0.5,0.55]","fav_win",4,2,0.0266095371413674,0.0119047619047619,0.5,0.55
"[0.5,0.55]","fav_win",4,3,0.0116934810954056,0.0119047619047619,0.5,0.55
"[0.5,0.55]","fav_win",5,0,0.00293607004553278,0,0.5,0.55
"[0.5,0.55]","fav_win",5,1,0.00417894754357086,0,0.5,0.55
"[0.5,0.55]","fav_win",5,2,0.00190633481437976,0,0.5,0.55
"[0.5,0.55]","fav_win",5,3,0.00138520603505054,0,0.5,0.55
"[0.5,0.55]","fav_win",5,4,0.000164952881237707,0,0.5,0.55
"[0.5,0.55]","und_win",0,1,0.315375650825286,0.388888888888889,0.5,0.55
"[0.5,0.55]","und_win",0,2,0.145115111936036,0.0972222222222222,0.5,0.55
"[0.5,0.55]","und_win",0,3,0.0365115871169188,0.0138888888888889,0.5,0.55
