1967	05	21	DO	HT	0	8	OQ		-14	986	1426	−	+2	159	91
1967	05	27	HT	DO	6	0	OQ		4	1430	982	+2	0	89	159
1970	03	01	AN	DO	1	0	CAC	PA	2	1471	980	0	0	74	159
1970	03	06	DO	PR	5	0	CAC	PA	29	1009	851	+1	−2	158	171
1971	08	04	BS	DO	4	2	PAG	CO	53	906	956	+6	−5	167	165
1973	12	16	VE	DO	1	0	F		1	1369	955	0	0	101	164
1974	02	28	DO	BM	2	3	CAC		-7	948	1341	0	+1	164	107
1974	03	04	DO	BS	2	0	CAC		21	969	919	+1	0	163	166
1974	03	08	DO	PA	1	3	CAC		-23	946	1176	−1	+3	164	138
1975	03	16	JM	DO	1	0	OQ		2	1359	944	+1	0	103	166
1975	04	03	DO	JM	1	2	OQ		-6	938	1365	−1	+1	167	102
1976	04	02	DO	HT	0	3	WCQ		-4	934	1516	0	+1	166	60
1976	04	17	HT	DO	3	0	WCQ		1	1517	933	0	0	60	166
1978	07	11	DO	PR	0	0	CAC	CO	-1	932	908	0	+1	166	172
1979	04	05	HT	DO	4	1	OQ		1	1561	931	0	0	55	166
1979	04	07	HT	DO	3	0	OQ		1	1562	930	0	−1	55	167
1979	04	17	DO	AN	3	2	PAQ	CU	33	963	1178	+1	−6	165	137
1979	04	20	CU	DO	1	0	PAQ		1	1583	962	0	0	52	165
1979	07	04	PR	DO	1	0	PAG		20	947	942	+3	−1	166	167
1986	05	21	PA	DO	2	1	BRG		3	1228	939	0	−1	129	170
1986	06	25	DO	AG	0	0	CAC		8	947	1177	+1	−2	169	141
1986	06	30	DO	BB	3	1	CAC		49	996	1261	+3	−14	166	122
1986	07	02	DO	HN	0	2	CAC		-3	993	1636	0	+1	166	39
1987	02	25	DO	PA	0	2	F		-9	984	1250	−1	0	167	125
1987	02	27	DO	PA	1	2	F		-6	978	1256	−1	+1	168	124
1987	02	28	DO	PA	1	1	F		5	983	1251	+1	0	167	124
1987	03	03	DO	PA	0	1	F		-6	977	1257	−1	0	168	124
1987	04	26	AG	DO	1	1	OQ		-14	1160	991	−3	+2	146	166
1987	05	03	DO	AG	0	0	OQ		4	995	1156	0	0	166	146
1987	05	31	GY	DO	4	0	OQ		7	1295	988	+4	0	106	166
1987	06	07	DO	GY	1	2	OQ		-9	979	1304	−2	0	168	106
1991	05	12	DO	HT	1	1	FCQ		12	991	1317	+1	−3	173	113
1991	05	14	DO	PR	3	1	FCQ		18	1009	922	+3	−1	170	177
1991	05	23	TT	DO	7	0	FQC	JM	5	1518	1004	0	−1	64	171
1991	05	25	DO	LC	0	0	FQC	JM	14	1018	1283	+1	−6	170	122
1991	05	27	MQ	DO	4	1	FQC	JM	7	1402	1011	+2	0	88	170
1992	03	21	DO	PR	1	2	WQ		-30	981	952	−2	+2	182	184
1992	03	28	PR	DO	1	1	WQ		-4	948	985	−1	0	185	182
1993	04	04	DO	VG	3	1	FCQ	KN	22	1007	874	+2	−3	186	199
1993	04	06	KN	DO	2	2	FCQ		-13	1162	1020	−2	+2	163	184
1994	03	10	DO	HT	0	1	CBQ		-10	1010	1323	−3	0	189	124
1995	05	23	DO	PR	3	1	FCQ		29	1039	1064	+5	−5	182	179
1995	05	25	DO	CU	0	3	FCQ		-7	1032	1523	−2	+2	184	72
1995	05	27	DO	AN	1	2	FCQ		-11	1021	1305	−2	+1	186	130
1996	03	24	DO	AW	3	2	WQ		14	1035	990	+5	0	182	190
