1935	12	29	GF	UM	1	3	FT		-17	1283	1507	−	+4	71	48
1946	00	00	GF	UM	1	3	F		-11	1272	1501	−1	+2	85	55
1947	03	02	UM	GF	9	0	F		10	1414	1262	0	0	65	86
1948	09	26	GF	UM	2	4	CIQ		-21	1241	1489	−1	+2	94	57
1948	10	00	GF	RG	3	2	CIQ		20	1261	1325	+1	−2	93	79
1948	12	18	GP	GF	7	2	CIB		12	1472	1249	+1	−1	59	94
1949	08	14	UM	GF	5	0	F		5	1505	1244	+2	0	57	97
1949	08	19	UM	GF	2	1	F		2	1507	1242	+2	0	55	97
1962	10	15	UM	GF	4	2	F		4	1449	1238	+1	−1	82	123
1964	06	04	GF	UM	3	1	F		21	1259	1474	+3	−4	119	76
1964	06	05	GF	UM	3	3	F		3	1262	1471	0	0	119	76
1965	07	25	UM	GF	7	0	F		6	1478	1256	0	0	75	121
1965	07	26	UM	GF	5	0	F		5	1483	1251	+1	0	74	121
1966	10	15	GF	UM	3	3	F		5	1256	1526	+1	0	126	62
1966	10	16	GF	UM	0	3	F		-10	1246	1536	−2	+4	128	58
1967	05	14	UM	GF	6	1	F		4	1540	1242	+1	0	59	126
1967	05	15	UM	GF	3	0	F		3	1543	1239	+1	0	58	126
1968	09	01	UM	GF	2	1	F		2	1556	1237	0	0	59	125
1969	04	26	GF	UM	1	2	F		-4	1233	1559	−1	+1	125	60
1969	10	00	GF	MQ	0	0	F		3	1236	1448	+1	+1	124	79
1969	10	05	UM	GF	1	1	F		-8	1546	1244	−1	0	61	125
1969	11	11	GF	UM	3	2	F		16	1260	1547	+3	−4	122	62
1970	11	11	UM	GF	3	2	F		2	1566	1258	0	−1	58	125
1973	11	00	MQ	GF	2	1	F		4	1427	1254	+5	−1	83	127
1975	00	00	GF	MQ	1	2	F		-8	1246	1435	−2	+9	129	79
1976	11	28	SR	GF	0	1	F		-17	1466	1263	−4	+3	77	122
1978	08	20	TT	GF	2	4	CUQ		-51	1404	1314	−13	+9	90	110
1978	09	00	GF	MQ	4	2	F		14	1328	1388	+4	−1	106	93
1978	09	02	GF	TT	1	4	CUQ		-37	1291	1441	−8	+10	114	80
1979	10	04	GF	TT	0	2	CUQ		-24	1267	1489	−5	+10	119	71
1979	10	06	GF	TT	0	0	CUQ		7	1274	1482	+2	−1	117	72
1981	06	07	SR	GF	3	1	CUQ		6	1558	1268	+2	−1	55	118
1981	06	21	GF	SR	3	1	CUQ		45	1313	1513	+10	−14	108	69
1981	07	19	SR	GF	1	0	CUQ		6	1519	1307	+1	−2	68	109
1983	07	23	GF	TT	0	1	CUC		-16	1291	1491	−4	+3	112	72
1983	07	25	GF	AG	1	0	CUC		9	1300	1176	+3	0	109	141
1983	07	27	GF	MQ	0	0	CUC		5	1305	1485	+2	0	107	73
1985	03	10	GF	GY	0	1	CUQ		-29	1276	1275	−9	+4	120	121
1985	03	17	GF	SR	0	1	CUQ		-18	1258	1431	−4	+2	124	85
1986	05	08	GF	GP	3	0	BST	FR	35	1293	1343	+12	−5	112	99
1986	05	09	GF	RE	3	3	BST	FR	-6	1287	1151	−3	+3	115	145
1987	05	28	GP	GF	4	1	BST	FR	22	1365	1265	+5	−10	95	121
1987	11	11	GF	SR	1	1	CUQ		3	1268	1422	0	0	120	85
1987	12	05	SR	GF	1	0	CUQ		8	1430	1260	0	−1	85	121
1989	04	23	KN	GF	1	0	CRQ		21	1167	1239	+2	−3	144	122
1989	05	10	GF	TT	1	3	CRQ		-15	1224	1548	−7	+4	128	60
1989	06	08	GF	AW	4	0	CRQ		24	1248	1172	+10	−3	121	142
1990	04	22	MQ	GF	4	0	CRQ		14	1425	1234	+7	−7	82	129
1990	05	13	DM	GF	1	1	CRQ		-1	1158	1235	−2	+1	148	129
1990	05	23	GF	VC	2	2	CRQ		0	1235	1335	0	0	128	108
1991	03	02	SR	GF	3	0	F		8	1368	1227	+1	−1	99	132
1991	05	15	MQ	GF	1	2	FCQ		-34	1396	1261	−9	+6	89	127
1991	05	17	GP	GF	1	0	FCQ	MQ	15	1370	1246	+5	−4	99	131
1992	04	08	GF	GY	1	1	CBQ	SR	-4	1242	1172	0	+1	140	155
1992	04	10	GF	AW	2	0	CBQ	SR	15	1257	1040	+4	−1	136	175
1992	04	12	SR	GF	3	2	CBQ		8	1398	1249	+3	−3	95	139
