1949	07	30	IL	CY	3	1	F		7	1507	1393	−	−	55	72
1949	08	21	YU	IL	6	0	WQ		9	1778	1498	+1	−4	15	59
1949	09	18	IL	YU	2	5	WQ		-18	1480	1796	−2	+2	61	12
1950	10	28	IL	TR	5	1	F		17	1497	1522	+2	−3	59	53
1950	12	03	TR	IL	3	2	F		7	1529	1490	+1	0	53	58
1953	11	01	GR	IL	1	0	WQ		17	1461	1473	+4	−6	68	64
1953	11	08	YU	IL	1	0	WQ		1	1941	1472	0	−1	5	65
1954	03	08	IL	GR	0	2	WQ		-39	1433	1500	−9	+11	79	62
1954	03	21	IL	YU	0	1	WQ		-3	1430	1944	−2	0	80	5
1954	05	01	ZA	IL	2	1	F		2	1703	1428	−1	−2	24	82
1954	05	03	ND	IL	0	0	F		-6	1552	1434	−1	+3	54	79
1954	05	05	ZD	IL	2	1	F		5	1528	1429	+2	−2	57	81
1954	05	09	ZD	IL	1	2	F		-15	1513	1444	−4	+5	60	76
1956	07	11	SU	IL	5	0	OQ		6	1795	1438	0	0	15	80
1956	07	31	IL	SU	1	2	OQ		-7	1431	1802	0	0	80	15
1956	09	01	HK	IL	2	3	AC		-31	1379	1462	−3	+7	88	73
1956	09	08	KR	IL	2	1	AC	HK	14	1647	1448	+4	−4	35	77
1956	09	12	IL	RV	2	1	AC	HK	24	1472	1408	+6	−3	71	84
1958	01	15	IL	WA	0	2	WQ		-20	1452	1716	−3	+3	77	25
1958	02	05	WA	IL	2	0	WQ		7	1723	1445	+1	−1	24	78
1958	05	26	IL	IR	4	0	ASG	JP	49	1494	1506	+12	−6	67	63
1958	05	28	IL	SG	2	1	ASG	JP	7	1501	1222	+2	0	65	120
1958	05	30	TW	IL	2	0	ASG	JP	15	1705	1486	+1	−3	29	68
1959	06	21	PL	IL	7	2	F		9	1602	1477	0	−1	45	76
1959	10	21	IL	YU	2	2	OQ		15	1492	1888	+4	−1	72	9
1959	11	29	IL	PL	1	1	F		0	1492	1591	+1	0	71	46
1959	12	05	IR	IL	3	0	SQ	IN	36	1519	1456	+12	−9	61	79
1959	12	08	IN	IL	1	3	SQ		-43	1477	1499	−15	+11	75	68
1959	12	10	IL	PK	2	0	SQ	IN	25	1524	1414	+7	−8	60	89
1959	12	12	IR	IL	1	1	SQ	IN	4	1455	1520	0	0	79	60
1959	12	16	IN	IL	1	2	SQ		-23	1445	1543	−1	+4	78	56
1959	12	17	IL	PK	2	2	SQ	IN	-7	1536	1417	−1	+3	57	88
1960	03	06	IL	GR	2	1	OQ		12	1548	1474	+1	−2	55	75
1960	04	03	GR	IL	2	1	OQ		19	1493	1529	+3	−3	72	58
1960	04	10	YU	IL	1	2	OQ		-38	1879	1567	−2	+6	10	52
1960	10	17	KR	IL	3	0	AC		21	1685	1546	+4	−3	32	54
1960	10	19	IL	RV	5	1	AC	KR	33	1579	1404	+5	−12	49	93
1960	10	23	IL	TW	1	0	AC	KR	34	1613	1672	+5	−8	44	35
1960	11	13	CY	IL	1	1	WQ		7	1400	1606	+1	0	94	44
1960	11	27	IL	CY	6	1	WQ		12	1618	1388	0	−2	43	96
1961	03	14	IL	ET	1	0	WQ		6	1624	1424	+2	−2	41	84
1961	03	19	IL	ET	3	2	WQ		6	1630	1418	0	−1	41	85
1961	10	15	IL	IT	2	4	WQ		-24	1606	1828	−3	+1	43	15
1961	10	22	IL	KR	1	1	F		0	1606	1702	0	0	43	27
1961	11	04	IT	IL	6	0	WQ		12	1840	1594	0	−3	14	46
1961	12	14	IL	YU	0	2	F		-5	1589	1982	−2	0	47	4
1962	05	16	TR	IL	1	0	F		4	1720	1585	0	−1	24	48
1962	10	03	IL	ET	3	0	F		10	1595	1516	+2	−1	46	66
1962	11	12	IL	SE	0	4	F		-11	1584	1865	−2	+1	49	12
1962	11	25	IL	TR	0	2	F		-13	1571	1738	−4	0	53	23
1963	05	19	IL	BR	0	5	F		-7	1564	1948	−3	+2	57	3
1963	12	29	RV	IL	0	1	OQ		-17	1395	1581	−8	+5	96	49
