1954	00	00	CI	LR	0	2	JAM		-56	1620	1356	−	−	30	90
1960	10	02	LR	GN	0	5	F		-13	1343	1603	0	0	104	45
1960	12	25	LR	CI	2	0	F		23	1366	1618	+2	−2	102	43
1961	12	17	LR	GN	1	0	NKR		20	1386	1571	+4	−8	99	53
1961	12	25	CF	LR	1	1	JAM	CI	-1	1404	1387	0	0	93	99
1961	12	26	CI	LR	5	0	JAM		10	1633	1377	0	0	41	99
1961	12	27	UV	LR	5	1	JAM	CI	38	1415	1339	+10	−5	89	104
1961	12	29	GN	LR	5	2	NKR		7	1578	1332	+2	−1	51	105
1963	04	12	LR	TD	2	1	JAM	SN	17	1349	1262	+1	−2	104	119
1963	04	13	DH	LR	1	0	JAM	SN	12	1502	1337	0	−1	70	105
1963	04	16	MG	LR	3	1	JAM	SN	24	1431	1313	+7	−2	85	107
1963	10	08	LR	NG	2	2	F		5	1318	1600	+1	−2	109	49
1963	10	26	NG	LR	3	0	F		3	1603	1315	+1	0	48	109
1964	01	18	LR	GH	4	5	OQ		-3	1312	1826	−1	0	111	14
1964	02	02	GH	LR	1	0	OQ		1	1827	1311	0	0	14	111
1964	12	26	GH	LR	5	1	AGQ	CI	7	1720	1304	+1	0	26	113
1964	12	30	CI	LR	4	2	AGQ		6	1602	1298	0	−1	45	114
1965	01	01	GN	LR	3	3	AGQ	CI	-16	1647	1314	−1	+2	37	112
1965	04	18	GN	LR	7	0	F		4	1640	1310	0	−1	38	114
1965	05	29	LR	CI	0	1	FQ		-8	1302	1650	0	+1	114	35
1965	06	27	CI	LR	4	0	FQ		5	1655	1297	+1	−1	35	115
1965	07	28	LR	GM	1	0	IND		11	1308	1282	+1	−2	114	119
1965	08	14	LR	CD	2	1	FQ		33	1341	1633	+4	−4	110	40
1965	09	21	CD	LR	3	2	FQ		3	1664	1338	0	0	37	110
1966	11	12	SL	LR	1	1	NKR		-4	1340	1342	−2	+3	106	104
1966	11	19	LR	SL	2	0	NKR		16	1358	1324	+2	−4	102	110
1967	00	00	LR	CD	1	4	F		-10	1348	1624	−2	+2	103	41
1967	01	26	LR	GN	2	2	FQ		8	1356	1594	0	−1	101	47
1967	03	05	CI	LR	1	1	F		-9	1689	1365	−2	+1	33	101
1967	04	02	GN	LR	3	0	FQ		9	1599	1356	+2	−3	46	104
1967	05	06	LR	SN	0	0	FQ		8	1364	1590	+1	−1	104	48
1967	05	08	LR	SN	1	1	FQ		7	1371	1583	+1	−2	103	50
1967	07	02	SN	LR	4	1	FQ		10	1593	1361	+1	−2	49	104
1971	03	01	MG	LR	2	1	F		7	1388	1354	+1	−1	94	101
1971	03	21	GH	LR	2	1	OQ		3	1694	1351	+1	0	35	101
1971	03	24	TG	LR	0	2	F		-24	1473	1375	−4	+3	71	98
1971	04	17	LR	GH	0	1	OQ		-9	1366	1703	−1	+4	99	31
1972	05	31	LR	GN	0	2	F		-10	1356	1595	−2	+1	103	53
1972	09	24	CI	LR	0	0	AGQ	GH	-14	1629	1370	−3	+4	42	100
1972	09	26	GH	LR	1	0	AGQ		5	1626	1365	+1	−3	43	103
1972	09	29	LR	SL	1	1	AGQ	GH	4	1369	1436	+3	−1	100	81
1972	11	29	LR	NG	1	3	F		-10	1359	1598	−4	+1	105	49
1972	12	29	LR	GH	2	2	F		5	1364	1624	+2	−1	102	44
1974	11	10	TG	LR	1	0	FQ		11	1446	1353	+3	−1	80	105
1974	11	22	LR	TG	0	2	FQ		-31	1322	1477	−5	+10	110	70
1974	12	18	LR	CI	1	0	F		14	1336	1539	+1	−6	109	59
1975	01	30	LR	CM	2	0	F		22	1358	1577	+5	−3	104	49
1975	02	09	LR	NG	0	1	F		-5	1353	1636	0	+1	104	40
1975	02	22	LR	GN	1	1	F		5	1358	1621	−1	0	105	43
1975	04	06	GH	LR	6	0	OQ		10	1618	1348	0	+1	43	104
1975	04	20	LR	GH	1	4	OQ		-22	1326	1610	−7	+4	111	43
1975	05	20	LR	SL	3	1	F		15	1341	1415	+4	−2	105	91
1976	04	25	SL	LR	1	0	F		6	1403	1335	+1	−2	93	109
1979	01	28	LR	GN	2	1	FT		22	1357	1596	+7	−4	99	51
1979	02	01	LR	SN	1	1	FT		7	1364	1628	+2	−3	97	46
1979	02	04	LR	GM	1	0	FT		8	1372	1293	+2	−1	95	114
1979	06	24	GH	LR	0	0	F		-8	1652	1380	−1	0	40	96
1979	07	26	LR	GH	3	1	IND		33	1413	1619	+6	−5	91	45
