1962	00	00	NS	TR	0	5	F		-14	1486	1719	−	+1	73	24
1977	01	05	NS	TR	0	1	F		-7	1479	1690	−3	+2	73	33
1980	09	28	TR	NS	5	0	ILG		16	1633	1463	+4	−6	43	80
1980	09	30	SA	NS	2	0	ILG	TR	33	1460	1430	+8	−7	79	86
1980	10	02	NS	MY	2	1	ILG	TR	19	1449	1393	+4	−2	82	92
1980	10	03	LY	NS	1	1	ILG	TR	-4	1521	1453	0	+2	62	80
2005	11	02	NS	KO	1	0	50A		8	1461	1371	+1	−3	93	108
2006	01	27	NS	KG	3	2	F		2	1463	1193	+2	0	93	159
2006	05	29	NS	GL	1	0	MWC	DE	2	1465	980	0	0	93	189
2006	05	30	NS	ZN	3	1	MWC	DE	11	1476	1202	+2	−4	91	156
2006	06	01	NS	GI	2	0	MWC	DE	6	1482	1089	+2	−2	89	176
2006	06	03	NS	ZN	0	0	MWC	DE	-13	1469	1228	−5	+5	94	147
2006	11	21	NS	TE	10	0	ELF		0	1469	669	0	0	94	221
2007	01	24	ZN	NS	2	1	F		14	1225	1455	+2	−2	151	95
2012	06	08	NS	ZN	2	0	VWC	KD	19	1474	1304	+1	−4	95	131
2012	06	09	KD	NS	2	1	VWC		18	1424	1456	+5	−1	102	96
2018	06	02	NS	TE	3	1	WFC	EN	1	1457	629	+1	0	91	229
