1963	11	14	KP	SO	14	0	GNF	ID	5	1710	1195	+2	−	27	133
1969	01	05	ET	SO	7	0	EAC		4	1585	1191	0	0	54	138
1969	01	07	UG	SO	7	1	EAC	ET	18	1376	1173	+2	−2	101	140
1972	01	18	SO	CN	1	3	F		-4	1169	1603	0	+1	140	50
1972	11	24	EG	SO	4	2	AGQ		1	1732	1168	0	0	27	141
1972	11	28	KE	SO	2	2	AGQ	EG	-12	1405	1180	−2	+1	88	140
1972	11	30	UG	SO	5	2	AGQ	EG	10	1499	1170	+2	−1	64	141
1973	03	10	SO	UG	2	0	FQ		48	1218	1466	+8	−9	132	71
1973	03	24	UG	SO	5	0	FQ		10	1476	1208	+5	−1	65	133
1973	06	17	CN	SO	7	4	F		2	1633	1206	0	0	41	133
1973	09	22	UG	SO	6	1	CEC		7	1534	1199	+2	−1	61	134
1973	09	24	ZM	SO	6	1	CEC	UG	10	1541	1189	+3	−2	60	136
1974	08	10	SO	BI	0	2	FQ		-32	1157	1298	−1	+10	138	116
1974	08	24	BI	SO	0	1	FQ		-32	1266	1189	−10	+1	126	137
1974	09	10	LY	SO	3	2	RVA		4	1395	1185	0	0	95	137
1974	11	03	ZN	SO	2	1	CEC	TZ	30	1027	1155	+2	−2	159	139
1974	11	04	SO	UG	1	1	CEC	TZ	16	1171	1502	+1	−2	138	66
1976	11	06	UG	SO	2	0	CEC	ZN	9	1486	1162	+4	−1	69	140
1976	11	08	ZM	SO	4	2	CEC	ZN	6	1546	1156	0	0	57	140
1976	11	10	ZN	SO	1	0	CEC		23	1022	1133	+4	−6	160	146
1976	11	16	ZN	SO	1	1	F		0	1022	1133	0	0	160	146
1977	11	12	EG	SO	4	0	AGQ		2	1654	1131	0	0	39	146
1977	11	14	SD	SO	2	0	AGQ	EG	5	1540	1126	0	−1	60	147
1977	11	25	SO	KE	0	1	CEC		-11	1115	1408	−2	+4	148	90
1977	11	30	SO	ZN	1	0	CEC		12	1127	1057	+2	−2	146	157
1977	12	03	SO	UG	1	1	CEC		13	1140	1485	+5	0	141	68
1978	11	03	MW	SO	3	1	CEC		6	1432	1134	+2	−3	84	142
1978	11	09	ZM	SO	4	0	CEC	MW	5	1591	1129	+1	−1	51	143
1978	11	11	KE	SO	1	0	CEC	MW	9	1347	1120	+3	−1	103	144
1978	11	13	SO	UG	2	2	CEC	MW	18	1138	1588	+4	−4	140	50
1980	07	16	NE	SO	0	0	WQ		-7	1167	1145	0	+1	140	144
1980	07	27	SO	NE	1	1	WQ		-4	1141	1171	−1	0	145	140
1980	11	17	SO	TZ	1	1	CEC	SD	15	1156	1460	+3	−4	142	80
1980	11	20	SD	SO	2	0	CEC		7	1425	1149	+2	−1	87	143
1981	05	12	TN	SO	6	0	F		1	1670	1148	0	−1	37	144
1982	09	19	SO	RW	0	1	FQ		-30	1118	1095	−5	+4	149	153
1983	11	14	SO	ZN	1	1	CEC	KE	-1	1117	1099	0	0	147	152
1983	11	17	MW	SO	2	1	CEC	KE	4	1518	1113	0	−1	67	148
1983	11	19	ZW	SO	2	1	CEC	KE	4	1486	1109	+2	−1	73	149
1983	12	02	SA	SO	1	0	ARQ		2	1483	1107	0	−1	75	150
1983	12	05	SO	SD	1	1	ARQ	SA	15	1122	1424	+3	−1	147	88
1984	11	09	SO	KE	1	0	FQ		34	1156	1489	+5	−11	144	73
1984	11	24	KE	SO	1	0	FQ		3	1492	1153	0	0	73	144
