1952	09	21	TI	NZ	2	2	F		-5	1495	1435	−	+2	61	68
1952	09	28	TI	NZ	3	5	F		-21	1474	1456	−3	+3	64	65
1953	09	00	NC	TI	5	0	F		18	1432	1456	+8	−7	68	72
1953	09	00	NC	TI	4	1	F		14	1446	1442	+8	−7	68	72
1953	09	00	NC	TI	4	1	F		12	1458	1430	+8	−7	68	72
1953	09	00	NH	TI	2	4	F		-6	1085	1436	0	−7	118	72
1953	09	00	NH	TI	2	4	F		-6	1079	1442	0	−7	118	72
1955	07	00	TI	NC	1	1	F		-2	1440	1460	+2	−1	75	76
1955	07	00	TI	NC	3	1	F		12	1452	1448	+2	−1	75	76
1957	09	00	NC	TI	2	0	F		11	1459	1441	0	0	78	77
1957	09	00	NC	TI	2	1	F		7	1466	1434	0	0	78	77
1957	09	00	NC	TI	2	4	F		-20	1446	1454	0	0	78	77
1957	09	09	TI	NH	2	1	F		1	1455	1078	0	0	77	130
1959	07	00	TI	NC	2	4	F		-21	1434	1422	0	+4	80	87
1959	07	00	TI	NC	3	1	F		10	1444	1412	0	+4	80	87
1960	09	05	TI	NZ	1	5	F		-21	1423	1526	−6	+7	86	60
1960	09	12	TI	NZ	1	2	F		-10	1413	1536	−3	+3	89	57
1961	09	00	NC	TI	2	1	F		7	1419	1406	+9	−5	83	94
1961	09	00	NC	TI	2	2	F		-3	1416	1409	+9	−5	83	94
1961	09	00	NC	TI	3	0	F		12	1428	1397	+9	−5	83	94
1963	09	01	NC	TI	2	1	SPG	FJ	19	1433	1378	+5	−7	83	100
1963	09	06	TI	SB	18	0	SPG	FJ	36	1414	1152	+11	−1	89	136
1964	09	00	TI	NC	0	2	F		-17	1397	1477	0	0	88	79
1964	09	00	TI	NC	4	1	F		16	1413	1461	0	0	88	79
1965	09	00	NC	TI	2	1	F		6	1467	1407	+2	−4	77	94
1965	09	00	NC	TI	4	1	F		10	1477	1397	+2	−4	77	94
1966	12	09	TI	PG	4	3	SPG	NC	6	1403	1076	+1	0	96	153
1966	12	11	TI	WF	5	0	SPG	NC	1	1404	699	0	−	96	169
1966	12	15	TI	NH	3	0	SPG	NC	8	1412	1048	+2	0	93	154
1966	12	17	NC	TI	0	2	SPG		-44	1449	1456	−18	+9	87	84
1968	12	00	NC	TI	0	1	F		-14	1485	1470	−3	+3	73	74
1968	12	00	NC	TI	1	1	F		-3	1482	1473	−3	+3	73	74
1969	08	14	NH	TI	3	3	SPG	PG	16	1102	1457	+2	−2	151	76
1969	08	15	PG	TI	1	3	SPG		-8	1028	1465	−1	0	157	76
1969	08	16	TI	FJ	2	0	SPG	PG	12	1477	1216	+2	−2	74	128
1969	08	18	TI	SB	7	0	SPG	PG	8	1485	1076	0	−1	74	153
1969	08	22	NC	TI	2	1	SPG	PG	19	1530	1466	+2	−1	67	75
1970	07	00	TI	NC	0	2	F		-17	1449	1547	−1	0	75	65
1970	07	00	TI	NC	3	1	F		15	1464	1532	−1	0	75	65
1971	08	30	TI	FJ	5	2	F		3	1467	1172	0	−1	74	142
1971	09	09	TI	PG	2	2	SPG		-17	1450	1119	−2	+4	76	146
1971	09	13	TI	CK	30	0	SPG		1	1451	688	0	−1	76	176
1971	09	16	TI	NH	1	2	SPG		-37	1414	1144	−11	+7	87	143
1971	09	18	TI	PG	8	1	SPG		8	1422	1113	0	−3	87	150
