date,home,away,actual,pred_poisson,pred_real,has_real,relo_h,relo_a,lambda_h,lambda_a,match_idx,se_real,se_poisson,min_elo
2025-10-14,Nepal,Vietnam,0.0,0.21993454476678792,0.14805165414742621,True,920.0,1324.0,0.8880004409737825,2.295473803779543,1743,0.021919292295789105,0.04837120398177424,920.0
2025-10-14,Myanmar,Syria,0.0,0.37044803785448066,0.34808796012533627,True,1228.0,1437.0,1.0079519126587202,1.5658533321772719,1744,0.1211652279842177,0.13723174875023475,1228.0
2025-10-14,Maldives,Tajikistan,0.0,0.24880018278086796,0.13748809600868891,True,866.0,1285.0,0.8457226461858577,2.031080023276727,1745,0.018902976544094462,0.06190153095179331,866.0
2025-10-14,Philippines,East Timor,1.0,0.8178174768938578,0.9604212774283489,True,1138.0,684.0,2.2727166516526216,0.686606575019308,1746,0.0015664752804037218,0.03319047172532005,684.0
2025-10-15,Puerto Rico,Argentina,0.0,0.08086621781167189,0.006342155201019844,True,1133.0,2111.0,0.6008363473334675,3.277903254535088,1747,4.0222932593823064e-05,0.00653934518316476,1133.0
2025-10-15,USA,Australia,1.0,0.51490314392018,0.525880930891169,True,1712.0,1794.0,1.33602877904177,1.2722690945468456,1748,0.22478889169262442,0.2353189597785256,1712.0
2025-10-15,Jamaica,Bermuda,1.0,0.7093555647632853,0.9512158141101019,True,1539.0,1123.0,2.0068546980875803,1.0137698110593247,1749,0.002379896792940131,0.08447418773406884,1123.0
2025-10-15,Canada,Colombia,0.5,0.4060425310076876,0.3612622508882752,True,1789.0,1988.0,1.0961708483934076,1.4997132508857747,1750,0.0192481630285879,0.008828005979441344,1789.0
2025-10-15,El Salvador,Guatemala,0.0,0.5601393913617008,0.3854986389914422,True,1345.0,1526.0,1.3452668596235662,1.0948061100406072,1752,0.1486092006642543,0.31375613775505656,1345.0
2025-10-15,Mexico,Ecuador,0.5,0.525086495084218,0.5244454611206615,True,1847.0,1930.0,1.2715392280174136,1.1673124507886101,1753,0.0005975805694017722,0.0006293322356104942,1847.0
2025-10-15,Panama,Suriname,0.5,0.6931662755213384,0.9006730359903561,True,1723.0,1440.0,1.9241975826128983,1.0236826644686638,1754,0.1605388817697292,0.0373132099987856,1440.0
2025-11-12,Russia,Peru,0.5,0.7203670337144217,0.8625119039913111,True,1922.0,1703.0,1.8550597290947957,0.8561434130984745,1755,0.13141488053540554,0.04856162954809306,1703.0
2025-11-12,Cuba,Saint Lucia,1.0,0.6384026322047175,0.8010809398289457,True,1180.0,1038.0,1.705340731769139,1.085947754017936,1756,0.03956879249933553,0.13075265639647682,1038.0
2025-11-12,Tunisia,Mauritania,0.5,0.6445142697816292,0.909565530807434,True,1643.0,1342.0,1.4235514362951962,0.8336947775121207,1757,0.16774392402557514,0.0208843741705175,1342.0
2025-11-12,Bahamas,Anguilla,0.0,0.6262462568620036,0.8056276940436502,True,782.0,635.0,1.8939711401576698,1.295184152619025,1758,0.6490359814100892,0.39218437423367064,635.0
2025-11-13,North Macedonia,Latvia,0.5,0.7431353376471401,0.8762293189310646,True,1518.0,1278.0,1.9449546919960417,0.8214148673126795,1759,0.14154850042333272,0.05911479241278884,1278.0
2025-11-13,Moldova,Italy,0.0,0.180901496418154,0.054117436910477636,True,1307.0,1904.0,0.80952067321047,2.4831753793490754,1760,0.002928696977759527,0.03272535140632739,1307.0
2025-11-13,Lithuania,Israel,0.5,0.4066127807527425,0.19257581832872078,True,1272.0,1621.0,1.1634148576586911,1.573958836160252,1761,0.09450962747625569,0.008721172718735345,1272.0
2025-11-13,Ireland,Portugal,1.0,0.25724576580249947,0.13748809600868891,True,1607.0,2026.0,0.9457184037916193,2.1206395451906266,1762,0.7439267845267166,0.5516838524183154,1607.0
2025-11-13,France,Ukraine,1.0,0.7212675644775522,0.8852936760540788,True,2052.0,1797.0,1.9718157805379284,0.9356600827603336,1763,0.013157540753186609,0.07769177061227549,1797.0
2025-11-13,Norway,Estonia,1.0,0.8896255065071256,0.9739366223620762,True,1872.0,1343.0,3.0017142766357536,0.6569782883460394,1764,0.0006792996538970247,0.01218252881380858,1343.0
2025-11-13,England,Serbia,1.0,0.7471283357508954,0.8569591392644484,True,2024.0,1813.0,1.9899037862710094,0.8346357013677715,1765,0.020460687839967455,0.06394407858011186,1813.0
2025-11-13,Czechia,San Marino,1.0,0.9372835590791357,0.9983336136712032,True,1844.0,833.0,3.974109348506454,0.5178362422204954,1766,2.7768433968008346e-06,0.003933351961780257,833.0
2025-11-13,Azerbaijan,Iceland,0.0,0.4210763560255432,0.3665922999288324,True,1363.0,1558.0,1.3384816195510436,1.7012762982523892,1767,0.134389914367111,0.17730529760375002,1363.0
2025-11-13,Armenia,Hungary,0.0,0.3947223505082585,0.22185154578086755,True,1400.0,1718.0,1.138382551248153,1.6023415248255195,1768,0.04921810836536037,0.15580573399076447,1400.0
2025-11-13,Andorra,Albania,0.0,0.2728269104031785,0.057451791076642215,True,1087.0,1673.0,0.7367998419020163,1.72497107897407,1769,0.003300708297914146,0.074434523040144,1087.0
2025-11-13,Suriname,El Salvador,1.0,0.518919497133662,0.7544540419421866,True,1440.0,1345.0,1.3897496847523132,1.3075936321108632,1770,0.060292817518529475,0.23143845023812862,1345.0
2025-11-13,Papua New Guinea,Solomon Islands,1.0,0.5086417849401795,0.6104024220946891,True,1104.0,1126.0,1.3185978733308645,1.2816644362780214,1771,0.1517862727096848,0.24143289550677277,1104.0
2025-11-13,Cayman Islands,British Virgin Islands,0.0,0.6751458436679637,0.8029091701538159,True,795.0,651.0,1.4694855980643382,0.7536669538196524,1772,0.6446631355170893,0.4558219102221265,651.0
2025-11-13,Bangladesh,Nepal,0.5,0.6414135416298478,0.6360768996878818,True,915.0,918.0,1.6847276702193805,1.0565381167914316,1773,0.018516922628665857,0.019997789756296687,915.0
2025-11-13,India,Bhutan,1.0,0.8089154722260451,0.9740823468931378,True,1150.0,620.0,2.4082420069188744,0.8117853479609451,1774,0.0006717247425676452,0.036513296754595345,620.0
2025-11-13,Dominican Republic,Saint Vincent and the Grenadines,1.0,0.692196630419464,0.7973863140277038,True,1295.0,1157.0,1.8869970981405197,0.9998830827846568,1775,0.04105230574328027,0.09474291432513203,1157.0
2025-11-13,Cabo Verde,Iran,0.0,0.392174961438975,0.34029200585525193,True,1549.0,1764.0,1.061352790929698,1.5247250370462153,1776,0.11579864924899082,0.15380120037966152,1549.0
2025-11-13,United Arab Emirates,Iraq,0.5,0.511459662782845,0.596629173305774,True,1548.0,1580.0,1.442358240195265,1.3914584995065846,1777,0.009337197133757313,0.0001313238710965239,1548.0
2025-11-13,Hong Kong,Cambodia,0.5,0.7288354489276392,0.9256237164516561,True,1173.0,835.0,1.962248264818164,0.8956931175005367,1778,0.18115554800611974,0.05236566268591416,835.0
2025-11-13,Algeria,Zimbabwe,1.0,0.7742936187095933,0.9338859386628043,True,1699.0,1339.0,2.18027566553604,0.8379243351164977,1779,0.004371069106498471,0.05094337055521043,1339.0
