"Team","Champion","Runner-Up","Third Place","Quarter-Final","Round of 16","Round of 32","Group Stage"
"Spain",29.9,9.9,11.3,8.7,18.1,18.7,0.5
"Argentina",13.9,7.9,11,10,20.6,30.3,1.7
"France",12.2,9.3,7,19.9,19.8,20.8,6.2
"England",9.1,9.7,7.3,18.8,23.7,23.4,3.3
"Colombia",5.4,4.7,7.5,10,37.3,25.6,5.4
"Brazil",4.8,7.4,4.9,12.7,22,37.5,3.9
"Netherlands",3.3,5.2,5.6,16.2,21.8,34.7,6.9
"Portugal",3,3.8,6.6,8.4,34.4,31.6,8.1
"Ecuador",2.9,3.5,3.9,14.2,26.9,41.6,3
"Croatia",2.2,3.4,3.1,11.8,30.6,36.8,8.3
"Norway",2,3.3,3.6,12.8,26.4,29.9,19.8
"Switzerland",1.7,3.5,2.9,21.5,26.6,34.6,5.5
"Germany",1.6,3.9,2.2,12.5,27.3,44.4,4.7
"Uruguay",1,1.3,2,7.6,18.5,54.6,12
"Mexico",0.9,1.9,1.7,13.2,30.5,37.3,12
"Japan",0.8,2.6,2,11.7,21.8,42.9,15.2
"Belgium",0.7,0.9,1.8,19.4,25.6,37.6,10.2
"Denmark",0.7,2.7,1.2,13.2,26.2,43,9.7
"Paraguay",0.7,0.5,1.8,15.6,21,32,25.7
"Turkey",0.7,2.1,2.2,19.6,23,27.6,20.9
"Italy",0.6,2.5,2.1,15.9,23.4,42.3,10.1
"Canada",0.5,1.5,1.1,11.9,20.6,47.3,14.4
"Senegal",0.5,1.8,1,7.6,23.7,34.2,29.5
"Austria",0.3,0.6,0.5,4.9,14.6,47.8,30
"Morocco",0.3,1.3,1.4,10.9,18.5,44.9,21.3
"Bolivia",0.1,0,0,1.4,4.4,18.2,75.7
"Cabo Verde",0.1,0.1,0,0.7,3,24.5,71.5
"South Korea",0.1,1.5,0.7,8.1,21.4,44.4,21.6
"Algeria",0,0.2,0.1,3.8,7,36.5,51.6
"Australia",0,0.4,0.5,9.5,17.8,31.7,38.9
"Curaçao",0,0,0,0.2,1.5,17.4,80.9
"Côte d'Ivoire",0,0,0.1,1.1,8,44.7,45.9
"DR Congo",0,0.1,0,1.4,4.7,22.9,70.7
"Egypt",0,0,0,3.2,11.5,43,41.9
"Ghana",0,0,0,0.1,1.2,12.7,85.9
"Haiti",0,0,0,0.4,2.3,19,78.2
"IR Iran",0,0.8,0.6,11.3,21.4,42.1,22.8
"Jordan",0,0.1,0,1.3,5.3,31.5,61.2
"New Zealand",0,0,0.1,1.5,6.7,33.7,57.7
"Panama",0,0.2,0.3,4.6,12.3,43.6,38.4
"Poland",0,0.3,0.2,4,12.2,39.6,42.7
"Qatar",0,0,0,0,0.8,9.9,89.3
"Saudi Arabia",0,0,0,0.9,2.6,29.2,67.2
"Scotland",0,0.8,0.4,6.7,18.8,48.6,22.6
"South Africa",0,0,0,0.4,2.5,16.1,80.9
"Tunisia",0,0,0,0.7,4.7,25.2,69.2
"USA",0,0.2,1,7.5,15.3,29.4,46.3
"Uzbekistan",0,0.1,0.3,2.2,11.7,34.7,50.6
